id_palavra;portugues;romaji;hiragana;katakana;num_silabas;;;
111;Bebe;akachan;あかちゃん;アカチャン;5;;;
112;Eu, eu mesmo;watashi;わたし;ワタシ;3;;;
113;Eu, eu mesmo;watakushi;わたくし;ワタクシ;4;;;
114;Eu, eu mesmo;boku;ぼく;ボク;2;;;
115;Eu, eu mesmo;ore;おれ;オレ;2;;;
116;Eu, eu mesmo;atashi;あたし;アタシ;3;;;
117;Menina(jovenzinha);shoujo;しょうじょ;ショウジョ;5;;;
118;Menino(jovenzinho);shounen;しょうねん;ショウネン;5;;;
119;Prazer em conhecê-lo;hajimemashite;はじめまして;ハジメマシテ;6;;;
120;Obrigado pela comida;gochisousama;ごちそうさま;ゴチソウサマ;6;;;
121;Bastardo, desgraçado;hiretsukan;ひれつかん;ヒレツカン;5;;;
122;Traidor;uragirimono;うらぎりもの;ウラギリモノ;6;;;
123;Não entendo;wakarimasen;わかりません;ワカリマセン;6;;;
124;Cuidados Médicos;iryou;いりょう;イリョウ;4;;;
125;Hospital;byouin;びょういん;ビョウイン;5;;;
126;Médico;isha;いしゃ;イシャ;3;;;
127;Clínica/Consultório;iin;いいん;イイン;3;;;
128;Clínica-Geral;naika;ないか;ナイカ;3;;;
129;Diagnóstico;shindan;しんだん;シンダン;4;;;
130;Remédio;kusuri;くすり;クスリ;3;;;
131;Comprimido;jouzai;じょうざい;ジョウザイ;5;;;
132;Injeção;chuusha;ちゅうしゃ;チュウシャ;5;;;
133;Internação;nyuin;にゅいん;ニュイン;4;;;
134;Receita Médica;shohousen;しょほうせん;ショホウセン;6;;;
135;Refeição;shokuji;しょくじ;ショクジ;4;;;
136;Arroz;okome;おこめ;オコメ;3;;;
137;Água;mizu;みず;ミズ;2;;;
138;Sal;shio;しお;シオ;2;;;
139;Açúcar;satou;さとう;サトウ;3;;;
140;Frutas;kudamono;くだもの;クダモノ;4;;;
141;Verduras;yasai;やさい;ヤサイ;3;;;
142;Ovo;tamago;たまご;タマゴ;3;;;
143;Carne Bovina;gyuuniku;ぎゅうにく;ギュウニク;5;;;
144;Carne Suína;butaniku;ぶたにく;ブタニク;4;;;
145;Peixe;sakana;さかな;サカナ;3;;;
146;Leite De Vaca;gyuunyuu;ぎゅうにゅう;ギュウニュウ;6;;;
147;Leite De Soja;tonyuu;とにゅう;トニュウ;4;;;
148;Chá;ocha;おちゃ;オチャ;3;;;
149;Macarrão;men;めん;メン;2;;;
150;Óleo;abura;あぶら;アブラ;3;;;
151;Pão De Forma;shokupan;しょくぱん;ショクパン;5;;;
152;Venda;hatsubai;はつばい;ハツバイ;4;;;
153;Aberto (Restaurantes E Outros Estabelecimentos);eigyouchuu;えいぎょうちゅう;エイギョウチュウ;8;;;
154;Fechado Ou Se Preparando Para Abrir (Restaurantes E Outros Estabelecimentos);junbichuu;じゅんびちゅう;ジュンビチュウ;7;;;
155;Pedido;chuumon;ちゅうもん;チュウモン;5;;;
156;Conta;kaikei;かいけい;カイケイ;4;;;
157;Refeitório;shokudou;しょくどう;ショクドウ;5;;;
158;Loja;mise;みせ;ミセ;2;;;
159;Ponto De Ônibus;basutei;ばすてい;バステイ;4;;;
160;Trem;densha;でんしゃ;デンシャ;4;;;
161;Vagão;kyakusha;きゃくしゃ;キャクシャ;5;;;
162;Trem-Bala;shinkansen;しんかんせん;シンカンセン;6;;;
163;Trem Expresso;kyukou;きゅこう;キュコウ;4;;;
164;Estação;eki;えき;エキ;2;;;
165;Saída;deguchi;でぐち;デグチ;3;;;
